name,affiliation,citations,hindex,i10index,quality,n_ratings,easiness,department,college
"Porter, Lisa","Professor of Materials Science and Engineering, Carnegie Mellon University",2893,27,55,2.6,4,2.5,Engineering,CMU
"Jaffe, Richard","Research Scientist, NASA Ames Research Center",10039,49,108,4.0,5,3.4,Religious Studies,Duke
"Massoud, Hisham",Duke University - Dept of Elec and Comp Eng,2609,22,45,3.2,15,2.4,Engineering,Duke
"Riggsby, Andrew","Professor of Classics, University of Texas at Austin",1061,14,15,3.8,2,2.0,Classics,UTexas
"White, Ismail",Duke University,1736,16,20,5.0,1,3.0,Political Science,UTexas
"Chartrand, Tanya",Duke University,26073,48,76,4.9,4,4.8,Psychology,Duke
"Sullivan, Lauren",Assistant Professor - University of Missouri,1484,15,17,4.8,10,3.5,Social Science,Tufts
"Ling, Hao","Professor of Electrical and Computer Engineering, The University of Texas at Austin",10837,54,173,5.0,2,3.5,Engineering,UTexas
"Heller, Wendy","Professor, Psychology, Department, University of Illinois, Champaign, IL",10627,53,99,5.0,2,4.0,Music,Princeton
"Fowler, Joseph","Research Scientist, US National Institute of Standards and Technology",8521,45,99,4.0,1,2.0,Physics,Princeton
"Wu, Sue-Mei","Professor of Chinese Studies, Carnegie Mellon University",192,7,5,4.2,2,2.5,Languages,CMU
"Bruegge, Bernd","Professor, Computer Science, Technische Universität München (Technical University Munich)",5629,34,95,3.5,4,2.5,Computer Science,CMU
"Vangelisti, Anita",The University of Texas at Austin,6891,40,70,5.0,1,3.0,Communication,UTexas
"Sayle, ","Reader, University of Kent",4928,31,72,2.6,8,3.1,Writing,Duke
"Muchlinski, Magdalena",Oregon Health and Science University,370,10,11,5.0,2,2.5,Anthropology,UTexas
"Kelly, Michael","BC Medical Director, LifeLabs",13145,62,213, ,0, ,Chemistry,Princeton
"Dabbish, Laura","Associate Professor, Carnegie Mellon University",9062,35,56,2.5,2,3.0,Information Science,CMU
"Rao, Ramesh","Department of Electrical and Computer Engineering, University of California San Diego",12601,53,139,3.1,4,2.2,Finance,UTexas
"Weinstein, Steven","Department Head and Professor of Chemical Engineering, Rochester Institute of Technology",1336,20,32,3.0,1,4.0,Philosophy,Princeton
"Burnside, Craig","Mary Grace Wilson Professor, Duke University",15122,38,53,3.3,11,2.7,Economics,Duke
"Bell, John",Senior Scientist Ottawa Hospital Research Institute,25968,76,244, ,0, ,Computer Science,UChicago
"McKinley, Scott",Tulane University,590,13,19,3.7,17,2.2,Mathematics,Duke
"Goldberg, Ariel","Associate Processor of Psychology, Tufts University",314,10,10,4.0,1,4.0,Psychology,Tufts
"Meyer, ",University of Western Ontario,101190,67,103,1.7,11,1.2,Chemistry,UTexas
"Huettel, Lisa",Duke University,333,9,9,4.7,18,2.8,Engineering,Duke
"Thompson, Shirley","Associate Professor of Natural Resources, University of Manitoba",931,17,30, ,0, ,History,UTexas
"Kaster, Robert","Professor Classics, Princeton University",2808,20,30,3.5,5,2.4,Classics,Princeton
"Nelson, Deborah",Associate Professor,10367,45,107,4.0,4,4.2,Languages,Rice
"Kahn, Joseph","Professor of Electrical Engineering, E. L. Ginzton Laboratory, Stanford University",29178,69,223,1.0,1,2.0,Engineering,Stanford
"Miller, David",所属不明,105321,167,808,5.0,1,4.0,Engineering,MIT
"Kuc, Roman","Professor of Electrical Engineering, Yale University",4970,36,71,1.1,4,3.0,Engineering,Yale
"Katz, Daniel","NCSA, CS, ECE, iSchool @ UIUC",6063,35,85,4.5,1,3.0,Mathematics,Princeton
"Daniels, Brian",Rutgers University,959,16,18,4.8,2,3.5,Languages,Duke
"Lee, Jung-Min",Harvard University,1579,19,23, ,0, ,Music,Duke
"Goetz, Andrew",University of Denver,2352,24,36,5.0,1,5.0,Mathematics,Duke
"Duchamp, James","Professor of Chemistry, Emory & Henry College",3295,24,31,2.6,15,2.7,Science,Harvard
"Perron, Taylor",Massachusetts Institute of Technology,3797,31,53,5.0,2,3.5,Geology,MIT
"Glaser, James","Professor of Political Science, Tufts University",1502,15,17,4.3,33,3.2,Political Science,Tufts
"Smith, Martin",University of York,7170,37,76,5.0,2,2.5,Economics,Duke
"Chamberlain, Page","Professor of Earth System Sciences, Stanford University",15717,69,186,5.0,1,3.0,Geology,Stanford
"Keating, Elizabeth","Senior Scientist, Los Alamos National Laboratory",1450,24,33, ,0, ,Linguistics,UTexas
"Martin, Lewis",University of Sydney,821,6,5,5.0,1,4.0,Geography,Stanford
"Bialek, William",Princeton University,27739,70,157,4.6,8,2.9,Physics,Princeton
"Sylvie, George","Associate Professor Emeritus of Journalism, University of Texas at Austin",1054,16,23,3.0,3,3.0,Journalism,UTexas
"Cole, Jennifer",University of Chicago,11010,37,59,3.5,9,2.3,Not Specified,UChicago
"Stein, Robert","Professor of political science, Rice University",5825,36,72,5.0,1,2.0,Political Science,Rice
"Hayes, John",Scotland,38201,88,236,2.9,14,3.4,Psychology,CMU
"Maly, Wojciech",CMU,10863,48,142, ,0, ,Engineering,CMU
"Sterrett, Susan",Curtis D. Gridley Distinguished Professor of History and Philosophy of Science,361,10,12,2.5,1,4.0,Philosophy,CMU
"Boone, Catherine","Professor of Comparative Politics, London School of Economics and Political Science",4378,29,39,4.0,1,4.0,Political Science,UTexas
"Sorensen, Jesper","Jeffe Professor of Organizational Behavior, Stanford University",8534,30,40, ,0, ,Sociology,Stanford
"Seeger, ","Professor of Computer Sciene, University of Marburg",15259,41,86,3.3,3,3.3,Languages,UTexas
"Brackett, John","Music Instructor, Vance-Granville Community College",110,4,3,5.0,1,5.0,Music,Duke
"Levitt, Michael","Structural Biology, Stanford University",39897,92,185, ,0, ,Biology,Stanford
"Canuto, Marcello",Tulane University,1002,13,19,2.6,9,3.1,Anthropology,Yale
"Strauss, Robert","Professor of Economics and Public Policy, Carnegie Mellon",3705,23,38,2.9,4,3.5,Political Science,CMU
"Tu, Loring","Professor of Mathematics, Tufts University",4590,13,19,4.5,15,3.2,Mathematics,Tufts
"Cederbaum, Carla","Professor, Mathematics Department, University of Tübingen",270,10,10,4.4,9,1.9,Mathematics,Duke
"Yang, Jun","Professor, School of Automation, Southeast University",6315,31,61,5.0,2,4.0,Computer Science,Duke
"Constantin, Peter",Princeton University,17893,65,159,4.0,1,3.0,Mathematics,UChicago
"Richman, Laura",Duke University,10240,25,37,4.3,6,3.8,Psychology,Duke
"Rose, Mark",Georgetown University,15793,55,85,3.0,2,3.0,Biology,Princeton
"Rakison, David","Associate Professor, Carnegie Mellon University",3215,30,45,4.7,16,3.2,Psychology,CMU
"Botello, Jesus",University of Delaware,14,2,0,5.0,1,2.0,Languages,UChicago
"Carter, Phillip","Associate Professor of Linguistics, Florida International University",645,11,13,4.5,3,3.7,English,Duke
"Armitage, Bruce",Carnegie Mellon University,7152,47,96,4.9,10,2.7,Chemistry,CMU
"Brady, David","Michael J. Fitzpatrick Endowed Professor of Photonics, Duke University",14109,61,230,4.0,12,3.8,Electrical Engineering,Duke
"King, Sarah","Reader in Behavioural Neuroscience, University of Sussex",2405,25,31, ,0, ,Humanities,MIT
"Johnston, Brian","CEO, Somagenics",2314,26,49,5.0,1,2.0,Theater,CMU
"Bovik, Alan","Cockrell Family Regents Endowed Chair Professor, The University of Texas at Austin",97767,114,476,5.0,1,2.0,Engineering,UTexas
"Merton, Robert","Sociology, Columbia University",205666,130,481, ,0, ,Finance,MIT
"Avigad, Jeremy","Professor of Philosophy and Mathematical Sciences, Carnegie Mellon University",2985,29,57,4.4,5,2.6,Philosophy,CMU
"Butler, Laurie",University of Reading,3136,30,40,2.9,13,1.7,Chemistry,UChicago
"Jagoda, Patrick","Professor, University of Chicago",437,12,15,5.0,1,3.0,English,Duke
"Jones, Lee",Memorial Sloan Kettering Cancer Center,20884,79,263, ,0, ,Art,Harvard
"Jacobson, Mark",Stanford University,29161,78,170,5.0,1,3.0,Engineering,Stanford
"Olson, Brandon",Boston University,264,8,5, ,0, ,Not Specified,Tufts
"Iwasaki, Yasufumi","Associate Teaching Professor, Carnegie Mellon University",45,3,1,2.5,1,2.0,Languages,CMU
"Wang, Xiaoyang",University of Gothenburg,8053,49,104, ,0, ,Mathematics,Duke
"Younger, Jarred",University of Alabama at Birmingham,4275,28,52, ,0, ,Medicine,Stanford
"Fernald, Russell","Professor of Biology, Stanford University",15986,66,185,2.8,4,2.5,Biology,Stanford
"Schultz, Anna",DTU,1151,20,27, ,0, ,Music,Stanford
"Amador, Carlos","Professor of Chemistry, Facultad de Química, Universidad Nacional Autónoma de México",1780,18,24,4.3,7,4.4,Languages,UTexas
"Meng, Chen","Department of Botany and Plant Sciences, University of California Riverside",12382,20,23,4.0,1,3.0,Biology,Duke
"Barrett, Ashley",Baylor University,213,9,8,3.9,4,2.8,Communication,UTexas
"Williams, Blythe","Evolutionary Anthropology, Duke University",1296,15,20,4.8,3,3.7,Anthropology,Duke
"Collins, Leslie","Professor of Electrical and Computer Engineering, Duke University",5220,35,132,3.0,4,3.2,Engineering,Duke
"Brockmann, Stephen","Professor of German, Carnegie Mellon University",696,11,15,4.0,1,4.0,History,CMU
"Nijhout, H. Frederik",Duke University,18138,71,187,2.7,5,2.4,Biology,Duke
"Johnson, Andrew",NIH,24730,78,169,3.5,4,1.8,Fine Arts,CMU
"Garrison, James","Professor of Aeronautics and Astronautics, Purdue University",3123,29,54,5.0,1,4.0,Not Specified,UTexas
"McCarthy, Chris","Senior Lecturer, Swinburne University of Technology",830,12,18,5.0,1,3.0,Education,UTexas
"Petrosino, Anthony",WestEd,4675,33,57,3.0,1,4.0,Education,UTexas
"Teixidor I Bigas, Montserrat","Professor of Mathematics, Adjunct Professor of Education, Tufts University",810,15,25,2.7,15,3.3,Mathematics,Tufts
"Blelloch, Guy","Professor of Computer Science, Carnegie Mellon University",14655,56,140,3.6,4,2.2,Computer Science,CMU
"Vidas, Tim",Carnegie Mellon Univeristy,2609,18,22,4.5,4,2.0,Information Science,CMU
"Monin, Benoit",Stanford University,7047,37,51,3.9,7,2.6,Psychology,Stanford
"Flynn, Matthew",Newcasle University Business School,1012,18,27,2.2,3,2.3,Sociology,UTexas
"Fisher, Anna","Associate Professor, Department of Psychology, Carnegie Mellon University",2133,22,34,3.0,2,2.0,Psychology,CMU
"Grossberg, Rami","Professor of mathematics, Carnegie Mellon University",1092,19,25,3.2,8,2.5,Mathematics,CMU
"Henderson, Linda","Professor of Art History, The University of Texas at Austin ",1652,16,24,4.8,2,4.5,Art History,UTexas
"Dayal, Kaushik",Carnegie Mellon University,873,16,27,1.5,1,4.0,Engineering,CMU
"Cohen, Mark","Professor of Psychiatry Neurology Psychology, UCLA",27862,73,175, ,0, ,Social Science,Princeton
"Scheutz, Matthias","Professor of Computer Science and Cognitive Science, Tufts University",7374,45,159, ,0, ,Computer Science,Tufts
"Shapiro, Ian","Sterling Professor of Politcal Science, Yale University",12602,46,96,4.0,3,3.0,Political Science,Yale
"Cook, David","Professor of Medicine and Medical Education, Mayo Clinic College of Medicine and Science",20660,73,154,4.8,7,2.7,Theology,Rice
"Uka, Arban",Epoka University,33,4,1,4.5,1,4.0,Physics,UTexas
"Baker, Paul","Professor of English Language, Dept of Linguistics and English Language, Lancaster University",10469,41,66,2.1,16,2.5,Geology,Duke
"Batory, Don",University of Texas at Austin,16624,62,158, ,0, ,Computer Science,UTexas
"Groeger, Joachim",Nike Sport Research Lab,47,2,1,3.5,3,2.7,Economics,CMU
"Needham, Amy","Vanderbilt University, Peabody College",3815,26,42,3.7,3,4.0,Psychology,Duke
"Dubrawski, Artur",Carnegie Mellon University,1137,15,28,5.0,3,2.0,Information Science,CMU
"Baranger, Harold",Duke University,10695,55,128,4.5,1,4.0,Physics,Duke
"Bayern, Shawn",Florida State University,488,13,18,5.0,1,2.0,Law,Duke
"Tauchen, George",Professor of Economics,19603,46,74,2.0,6,1.5,Economics,Duke
"Joyner, Valencia","Associate Professor of Electrical and Computer Engineering, Tufts University",718,14,23,3.1,6,2.2,Engineering,Tufts
"Kwon, Soonsik","Associate Professor, KAIST",473,12,13, ,0, ,Mathematics,Princeton
"Zimmerman, John","Professor, Human-Computer Interaction Institute, Carnegie Mellon Unviersity",13794,48,115,3.5,1,2.0,Computer Science,CMU
"Johnson, Joel","Professor,Dept. of Electrical and Computer Engineering, The Ohio State University",7448,41,123,1.8,2,3.0,Geology,UTexas
"Banner, Jay",University of Texas,7340,42,66,3.9,14,3.2,Science,UTexas
"Dzombak, David",Carnegie Mellon University,13830,45,127, ,0, ,Engineering,CMU
"Ramirez, Manuel","Hospital Niño Jesus, Johns Hopkins, CIEMAT",5050,37,106,1.9,20,1.8,Psychology,UTexas
"Aziz, Khalid","Energy Resources Engineering, Stanford University",18500,60,167,3.0,2,1.0,Geology,Stanford
"Massey, Cade",University of Pennsylvania,1185,13,15,4.0,1,3.0,Economics,Duke
"Maxwell, Angie","Associate Professor of Political Science, University of Arkansas",278,9,9,5.0,1,5.0,English,UTexas
"Kotovsky, Kenneth","Professor of Psychology, Carnegie Mellon University",4803,29,46,3.5,15,2.9,Psychology,CMU
"Mitchell-Olds, Thomas","Professor of Biology, Duke University",24292,86,168,3.9,5,3.6,Biology,Duke
"Simons, Mandy",Carnegie Mellon University,2355,18,23,5.0,1,5.0,Philosophy,CMU
"Kruse, Mark C","Department of Medicinal Chemistry and Molecular Pharmacology, Purdue University",340,12,13,4.5,3,3.3,Physics,Duke
"Boyer, John",Authentix Inc,8700,36,44,4.0,3,3.0,History,UChicago
"Kim, Tae Wan",Columbia University,8790,45,65,4.2,3,3.7,Business,CMU
"Roberts, Hugh","Professor of North African & Middle Eastern History, Tufts University",1225,19,34,3.7,3,3.3,History,Tufts
"Chen, Xiaohong","Professor of Economics, Yale University",10243,45,107,1.0,1,2.0,Economics,Yale
"Dannenberg, Roger","Professor of Computer Science, Carnegie Mellon University",7874,47,127,5.0,1,5.0,Computer Science,CMU
"Brunnermeier, Smita",Princeton University,1867,4,3,5.0,5,3.6,Economics,Princeton
"Harris, Lasana",University College London,2903,20,25,2.0,3,2.0,Psychology,Duke
"Collins, Linda",Director of The Methodology Center and Distinguished Professor of Human Development & Family Studies,18446,63,131,3.7,3,2.3,Mathematics,UChicago
"Braun, Phillip","Clinical Professor of Finance, Kellogg School of Management, Northwestern University",1338,9,9,5.0,6,1.8,Business,UChicago
"Dolgert, Stefan",Brock University,65,5,3,5.0,1,4.0,Government,Duke
"Donahue, Neil",Carnegie Mellon University,27737,85,234,4.0,1,2.0,Engineering,CMU
"Mohammad, Afsar",Korea University,2429,23,34,4.9,9,3.9,Asian Studies,UTexas
"Davidson, Arnold",Afiliação desconhecida,21040,30,49,4.1,9,2.8,Philosophy,UChicago
"Humphreys, Todd","Associate Professor of Aerospace Engineering, University of Texas at Austin",5376,41,82,1.2,2,1.0,Engineering,UTexas
"Stehlik, Mark","Teaching Professor, Carnegie Mellon UNiversity",556,9,9,4.5,2,3.0,Computer Science,CMU
"Das, Sourish",Chennai Mathematical Institute,462,8,6,2.3,10,4.1,Mathematics,Duke
"Pierre, Jacques",Université de Sherbrooke,3122,28,37,5.0,5,4.2,Languages,Duke
"Liu, Jincheng",Unknown affiliation,4830,32,48, ,0, ,East Asian Languages,Princeton
"Campello, Daniela",Fundacão Getúlio Vargas,365,7,7,2.0,1,2.0,Political Science,Princeton
"Kelly, Erin",University of Sydney,1411,16,19,3.4,7,2.9,Philosophy,Tufts
"Turner, Barbara",University of Texas Health Science Center at San Antonio,13338,57,145,5.0,2,4.5,Nursing,Duke
"Platzer, Andre","Associate Professor, Carnegie Mellon University",5441,39,85,2.0,1,3.0,Computer Science,CMU
"Gross, John",Savant,6149,43,94,3.4,36,2.4,Economics,Duke
"Weber, Roberto","Professor of Economics, University of Zurich",6943,37,61,3.8,6,3.3,Social Science,CMU
"Li, Kai","Professor of computer science, Princeton university ",52553,88,285, ,0, ,Computer Science,Princeton
"Anderson, Eric","Professor, University of Winchester",8722,44,92,2.8,12,2.7,Fine Arts,CMU
"Koushanfar, Farinaz","Professor and Henry Booker Faculty Scholar of ECE, UC San Diego",22916,53,139,5.0,2,4.0,Engineering,Rice
"Nelson, Robert","Senior Investigator, National Institute of Diabetes and Digestive and Kidney Diseases",97264,96,253,4.5,1,3.0,Art History,Yale
"McGaughey, Alan",Carnegie Mellon University,8212,47,79,4.8,2,3.5,Engineering,CMU
"Wolfe, Joel",University of Massachusetts Amherst Department of History,465,8,7,4.8,2,3.0,History,Rice
"Christensen, Thomas","Professor of Environmental Engineering, Technical Universitry of De´nmark",28811,93,302,4.0,3,1.7,Music,UChicago
"Kimmel, Marek","Professor of Statistics and Bioengineering, Rice University",12480,56,185,1.5,1,1.0,Mathematics,Rice
"Rudich, Steven","Professor of Computer Science, Carnegie Mellon University",5243,25,32,3.9,9,1.4,Computer Science,CMU
"Lu, Jie",UCLA,17033,37,82,3.7,3,3.7,Political Science,Duke
"Sleator, Daniel","Professor of Computer Science, Carnegie Mellon University",14234,32,42,2.3,3,1.7,Computer Science,CMU
"Katz, Joshua",DuPont Nutrition and Health,1316,16,18,4.9,9,2.6,Classics,Princeton
"White, Laura","Associate Professor of Biostatistics, Boston University",2587,24,51, ,0, ,Business,Harvard
"Braam, Janet","BioSciences, Biochemistry and Cell Biology, Rice University",8098,42,54,3.5,2,3.0,Biology,Rice
"Roberts, Brian","Senior Scientist, HudsonAlpha Institute",2640,17,24,2.2,2,2.5,Political Science,UTexas
"Roberts, Richard","Founder, TBA",22381,66,149,4.0,1,3.0,History,Stanford
"Hitchner, Bruce",Tufts University,974,17,20,4.5,6,3.5,Classics,Tufts
"Adsera, Alicia",Princeton University,5929,29,53,1.8,2,3.0,Economics,Princeton
"Zimmer, Carl",Yale University,4281,32,107, ,0, ,Environmental Studies,Yale
"Choueiri, Edgar","Professor of Applied Physics and Aerospace Engineering, Princeton University",3353,27,75,3.4,5,2.8,Engineering,Princeton
"McCord, Paul","Postdoctoral Research Associate, Department of Fisheries and Wildlife, Michigan State University",380,11,12,3.3,70,2.2,Chemistry,UTexas
"Lee, Greg",Australian National University,351,8,6,4.0,1,3.0,Religion,Duke
"Clementi, Cecilia","Professor of Chemistry, Rice University",5964,38,63,4.1,5,1.6,Chemistry,Rice
"Chan, Deland",Stanford University,15,2,0,5.0,1,4.0,Urban Studies,Stanford
"Panagiotopoulos, A.","Susan Dod Brown Professor of Chemical and Biological Engineering, Princeton Univ.",20889,72,262,4.5,2,2.5,Chemistry,Princeton
"Leoni, Giovanni","Professor of Mathematics, Carnegie Mellon University",2538,23,40,5.0,2,2.0,Mathematics,CMU
"Armstrong, Nancy","English Department, Duke University",7180,28,46,3.5,2,2.5,English,Duke
"Sliwa, Krzysztof",Tufts University,210756,205,1241,3.2,24,3.0,Science,Tufts
"Reid, Suzanne","Centre for Brain Research, School of Biological Sciences, The University of Auckland",2225,19,24,4.3,7,4.3,English,Harvard
"Landy, Joshua","Professor of Comparative Literature, Stanford",754,13,15,4.7,15,2.8,Languages,Stanford
"Coleman, David","Dublin Dental University Hospital, University of Dublin, Trinity College Dublin, Ireland",14812,67,174,4.9,4,4.5,Music,Tufts
"Marculescu, Diana",The University of Texas at Austin,7339,47,130, ,0, ,Computer Science,CMU
"Kritzer, Joshua",Tufts University,1873,18,23,3.6,5,2.2,Chemistry,Tufts
"Shelby, Reed",Duke Clinical Research Institute,9167,44,110, ,0, ,Health Sciences,Duke
"Marrow, James","Professor in Energy Materials, Oxford University",5142,38,108,5.0,2,5.0,Art History,Princeton
"Benes, Christian","Brooklyn College, CUNY",64,4,3,4.7,7,3.9,Mathematics,Tufts
"Subramanian, Devika",Rice University,3753,27,55,4.0,2,2.5,Computer Science,Rice
"Kim, Hae-Young","Senior Research Scientist, New England Research Institutes",257175,210,1917,4.1,5,3.2,Languages,Duke
"Abbott, John",John Abbott Planning and University of Queensland,381,7,7,5.0,5,2.6,Biology,UTexas
"Bernhardt, Emily","Professor of Biogeochemistry, Duke University",24212,64,127,3.1,4,2.0,Biology,Duke
"Chen, Dongmei","Department of Geography and Planning, Queen's University",3603,21,49,2.5,1,1.0,Engineering,UTexas
"Haverson, Haverson",University of Wisconsin-Madison,11584,29,40, ,0, ,Humanities,Rice
"Lee, Tai-Sing","Professor of Computer Science, Carnegie Mellon University",9304,26,43,4.5,1,3.0,Computer Science,CMU
"Dworkin Y Mendez, Kenya","Associate Professor of Hispanic Studies, Carnegie Mellon University",315,7,6,4.3,3,3.7,Ethnic Studies,CMU
"Randall, Richard",University of St Andrews,13603,52,116,4.5,1,3.0,Music,CMU
"Joseph, Betty","Professor of English, Rice University",247,4,4,4.5,1,4.0,English,Rice
"Sommer, Matthew","Associate Professor of History, Stanford University",748,9,9, ,0, ,History,Stanford
"Pei, ","Professor of Computing Science, Simon Fraser University",94652,87,255,3.8,4,3.2,Biology,Duke
"Schmidt, Christine","Pruitt Family Endowed Chair and Department Chair of Biomedical Engineering, University of Florida",16688,56,117, ,0, ,Engineering,UTexas
"Sepehrnoori, Kamy",Professor at The University of Texas at Austin,13464,59,296,4.4,4,3.2,Engineering,UTexas
"Robert, Hamilton",The Hospital for Sick Children (SickKids),9340,46,117,1.0,2,1.0,Law,UTexas
"Liu, Kang","Institute of Automation, Chinese Academy of Sciences",6055,33,66,2.8,2,4.5,Languages,Duke
"Bass, Gary",Royal College of Surgeons in Ireland,229,7,5,4.5,8,2.6,Political Science,Princeton
"Norman, Andrew","Principal Scientist, National Renewable Energy Laboratory",6031,38,105,3.8,6,2.7,Philosophy,CMU
"Kappeler, Erin",Tulane University,3,1,0,4.0,2,3.5,English,Tufts
"Gholz, Eugene","Associate Professor of Political Science, University of Notre Dame",1241,17,23,1.2,2,1.5,Not Specified,UTexas
"Pinango, Maria",Yale University,1939,22,33,2.0,6,2.5,Psychology,Yale
"Ghadimi, Parviz","Professor, Dept. of Maritime Engineering, Amirkabir University of Technology",1221,19,47,3.4,18,1.9,Mathematics,Duke
"Preston, Alison",University of Western Australia,1278,20,37,5.0,1,2.0,Psychology,UTexas
